rid	qln	items
A00126503SUWI86KZBMIN	1	['B00F856178', 'B009LXY59E']
A00900752UZ2JAC47K2RR	12	['B00CTVIWQW']
A00900752UZ2JAC47K2RR	27	['B00CUKEZ5E']
A01038432MVI9JXYTTK5T	1	['B006NMV59E']
A01038432MVI9JXYTTK5T	10	['B005GGBYJ4']
A01280172LF55QBT4IBHA	1	['B008R3M8V6']
A01335502AS0LP3ASV1Z7	12	['B003TM5AJM']
A01410041ZE038XXVXLBB	1	['B00974L0EA', 'B005SUHPO6']
A01410041ZE038XXVXLBB	23	['B00974L0EA']
A01534622D57NTXSH2WBR	1	['B005JHIYLG', 'B005BYSV7O']
A01534622D57NTXSH2WBR	12	['B004FSKVIE']
A01566963M68G4TMRL8YP	12	['B00AGABISW', 'B00AG9Y2X6']
A01566963M68G4TMRL8YP	20	['B009ABEA7E']
A01852072Z7B68UHLI5UG	1	['B00CB56498', 'B00CLA78TI']
A01852072Z7B68UHLI5UG	11	['B00CB56498']
A025531519P5C6VNP05FT	1	['B0054EBOIO', 'B009YL71BW']
A025531519P5C6VNP05FT	12	['B003TM5AJM']
A0260105268IXGY2H11N2	12	['B008CMCIF8']
A027168223K80PQU4IP35	1	['B009IFU5P8', 'B008LFTCAK']
A027168223K80PQU4IP35	12	['B008LFTCAK']
A02914441KN9I9HCGIYGD	1	['B006USG7ZI', 'B00842ANMQ', 'B006WU4CQK']
A02914441KN9I9HCGIYGD	11	['B00842ANMQ']
A0388397363MZHRU6ALSX	25	['B007C5S3AU']
A0464351OZXPUPKGI6HO	1	['B00CKT0RM0', 'B00CE3LM26', 'B00C6OORDO']
A0464351OZXPUPKGI6HO	12	['B00C5SMPA8']
A04645291H50KGR2JT2GA	1	['B0093SMCC4', 'B006W03NVK']
A04896451D6BHVAUTD75W	1	['B005EEPB9M', 'B0071U4QCA']
A04896451D6BHVAUTD75W	13	['B00A73DX9K']
A05463141Q2NQ2L1TYQGE	1	['B004369G9S', 'B004367IKC']
A05470662LAYR9LN1QIKW	1	['B009IFU5P8', 'B0054EQQXC', 'B00842ANMQ', 'B005DOTWSY']
A05470662LAYR9LN1QIKW	11	['B00842ANMQ']
A05470662LAYR9LN1QIKW	12	['B0065S1TWE']
A05596822K0LGF316BTTA	1	['B0096T2GBW']
A05793033A673QTUT56XZ	1	['B007Z0VQBA', 'B0042GUYZE']
A059899119L7CHCKBYQRD	1	['B003X5OBYU', 'B00F3YSN5M']
A059899119L7CHCKBYQRD	11	['B00F3YSN5M']
A0611551KU79JNSC7JJV	12	['B00CMRCEN0', 'B00BT8L2MW']
A06170512LLXAS5ND7UQB	1	['B005SUHPO6', 'B0055S212C']
A06170512LLXAS5ND7UQB	17	['B009O47G9Q']
